ObservationLocation                    ,ObservationCode,ObservationURL,ObservationState
"Vidalia, Vidalia Municipal Airport (KVDI)",KVDI,http://w1.weather.gov/xml/current_obs/display.php?stid=KVDI,GA
Warner Robins Air Force Base (KWRB),KWRB,http://w1.weather.gov/xml/current_obs/display.php?stid=KWRB,GA
"Washington, Washington-Wilkes County Airport (KIIY)",KIIY,http://w1.weather.gov/xml/current_obs/display.php?stid=KIIY,GA
"Waycross / Ware County, Ga (KAYS)",KAYS,http://w1.weather.gov/xml/current_obs/display.php?stid=KAYS,GA
"Winder, Winder-Barrow Airport (KWDR)",KWDR,http://w1.weather.gov/xml/current_obs/display.php?stid=KWDR,GA
Wright Army Airfield (Fort Stewart)/Midcoast Regional Airport (KLHW),KLHW,http://w1.weather.gov/xml/current_obs/display.php?stid=KLHW,GA
"Agana, Guam International Airport (PGUM)",PGUM,http://w1.weather.gov/xml/current_obs/display.php?stid=PGUM,GU
"Andersen, Mariana Is, Andersen Air Force Base (PGUA)",PGUA,http://w1.weather.gov/xml/current_obs/display.php?stid=PGUA,GU
"Wake Island, Wake Island Army Airfield Airport (PWAK)",PWAK,http://w1.weather.gov/xml/current_obs/display.php?stid=PWAK,GU
Bradshaw Army Air Field / Hawaii (PHSF),PHSF,http://w1.weather.gov/xml/current_obs/display.php?stid=PHSF,HI
"Hilo, Hilo International Airport (PHTO)",PHTO,http://w1.weather.gov/xml/current_obs/display.php?stid=PHTO,HI
"Honolulu, Honolulu International Airport (PHNL)",PHNL,http://w1.weather.gov/xml/current_obs/display.php?stid=PHNL,HI
"Kahului, Kahului Airport (PHOG)",PHOG,http://w1.weather.gov/xml/current_obs/display.php?stid=PHOG,HI
"Kailua / Kona, Keahole Airport (PHKO)",PHKO,http://w1.weather.gov/xml/current_obs/display.php?stid=PHKO,HI
"Kaneohe, Marine Corps Air Station (PHNG)",PHNG,http://w1.weather.gov/xml/current_obs/display.php?stid=PHNG,HI
"Kaunakakai, Molokai Airport (PHMK)",PHMK,http://w1.weather.gov/xml/current_obs/display.php?stid=PHMK,HI
"Kekaha, Pacific Missile Test Facility Barking Sands (PHBK)",PHBK,http://w1.weather.gov/xml/current_obs/display.php?stid=PHBK,HI
Lahaina - West Maui (PHJH),PHJH,http://w1.weather.gov/xml/current_obs/display.php?stid=PHJH,HI
"Lanai City, Lanai Airport (PHNY)",PHNY,http://w1.weather.gov/xml/current_obs/display.php?stid=PHNY,HI
"Lihue, Lihue Airport (PHLI)",PHLI,http://w1.weather.gov/xml/current_obs/display.php?stid=PHLI,HI
"Oahu, Kalaeloa Airport (PHJR)",PHJR,http://w1.weather.gov/xml/current_obs/display.php?stid=PHJR,HI
"Sand Island, Henderson Field Airport (PMDY)",PMDY,http://w1.weather.gov/xml/current_obs/display.php?stid=PMDY,HI
Wheeler Air Force Base / Oahu (PHHI),PHHI,http://w1.weather.gov/xml/current_obs/display.php?stid=PHHI,HI
Algona (KAXA),KAXA,http://w1.weather.gov/xml/current_obs/display.php?stid=KAXA,IA
"Ames, Ames Municipal Airport (KAMW)",KAMW,http://w1.weather.gov/xml/current_obs/display.php?stid=KAMW,IA
Ankeny Regional Airport (KIKV),KIKV,http://w1.weather.gov/xml/current_obs/display.php?stid=KIKV,IA
Atlantic (KAIO),KAIO,http://w1.weather.gov/xml/current_obs/display.php?stid=KAIO,IA
"Audubon, Audubon County Airport (KADU)",KADU,http://w1.weather.gov/xml/current_obs/display.php?stid=KADU,IA
Boone Municipal (KBNW),KBNW,http://w1.weather.gov/xml/current_obs/display.php?stid=KBNW,IA
Burlington Regional Airport (KBRL),KBRL,http://w1.weather.gov/xml/current_obs/display.php?stid=KBRL,IA
Carroll (KCIN),KCIN,http://w1.weather.gov/xml/current_obs/display.php?stid=KCIN,IA
Cedar Rapids Airport (KCID),KCID,http://w1.weather.gov/xml/current_obs/display.php?stid=KCID,IA
Centerville Municipal Airport (KTVK),KTVK,http://w1.weather.gov/xml/current_obs/display.php?stid=KTVK,IA
Chariton (KCNC),KCNC,http://w1.weather.gov/xml/current_obs/display.php?stid=KCNC,IA
Charles City (KCCY),KCCY,http://w1.weather.gov/xml/current_obs/display.php?stid=KCCY,IA
"Cherokee, Cherokee Municipal Airport (KCKP)",KCKP,http://w1.weather.gov/xml/current_obs/display.php?stid=KCKP,IA
Clarion (KCAV),KCAV,http://w1.weather.gov/xml/current_obs/display.php?stid=KCAV,IA
Clinton Municipal Airport (KCWI),KCWI,http://w1.weather.gov/xml/current_obs/display.php?stid=KCWI,IA
Council Bluffs (KCBF),KCBF,http://w1.weather.gov/xml/current_obs/display.php?stid=KCBF,IA
Creston Municipal Airport (KCSQ),KCSQ,http://w1.weather.gov/xml/current_obs/display.php?stid=KCSQ,IA
Davenport Municipal Airport (KDVN),KDVN,http://w1.weather.gov/xml/current_obs/display.php?stid=KDVN,IA
Decorah (KDEH),KDEH,http://w1.weather.gov/xml/current_obs/display.php?stid=KDEH,IA
Denison (KDNS),KDNS,http://w1.weather.gov/xml/current_obs/display.php?stid=KDNS,IA
Des Moines International Airport (KDSM),KDSM,http://w1.weather.gov/xml/current_obs/display.php?stid=KDSM,IA
Dubuque Regional Airport (KDBQ),KDBQ,http://w1.weather.gov/xml/current_obs/display.php?stid=KDBQ,IA
"Estherville, Estherville Municipal Airport (KEST)",KEST,http://w1.weather.gov/xml/current_obs/display.php?stid=KEST,IA
Fairfield Municipal Airport (KFFL),KFFL,http://w1.weather.gov/xml/current_obs/display.php?stid=KFFL,IA
Forest City Municipal Airport (KFXY),KFXY,http://w1.weather.gov/xml/current_obs/display.php?stid=KFXY,IA
Fort Dodge (KFOD),KFOD,http://w1.weather.gov/xml/current_obs/display.php?stid=KFOD,IA
Fort Madison Municipal Airport (KFSW),KFSW,http://w1.weather.gov/xml/current_obs/display.php?stid=KFSW,IA
Grinnell Municipal Airfield (KGGI),KGGI,http://w1.weather.gov/xml/current_obs/display.php?stid=KGGI,IA
"Harlan, Harlan Municipal Airport (KHNR)",KHNR,http://w1.weather.gov/xml/current_obs/display.php?stid=KHNR,IA
"Independence, Independence Municipal Airport (KIIB)",KIIB,http://w1.weather.gov/xml/current_obs/display.php?stid=KIIB,IA
Iowa City Municipal Airport (KIOW),KIOW,http://w1.weather.gov/xml/current_obs/display.php?stid=KIOW,IA
Iowa Falls Municipal Airport (KIFA),KIFA,http://w1.weather.gov/xml/current_obs/display.php?stid=KIFA,IA
Keokuk Municipal Airport (KEOK),KEOK,http://w1.weather.gov/xml/current_obs/display.php?stid=KEOK,IA
Knoxville (KOXV),KOXV,http://w1.weather.gov/xml/current_obs/display.php?stid=KOXV,IA
"Lamoni, Lamoni Municipal Airport (KLWD)",KLWD,http://w1.weather.gov/xml/current_obs/display.php?stid=KLWD,IA
Le Mars Municipal Airport (KLRJ),KLRJ,http://w1.weather.gov/xml/current_obs/display.php?stid=KLRJ,IA
"Marshalltown, Marshalltown Municipal Airport (KMIW)",KMIW,http://w1.weather.gov/xml/current_obs/display.php?stid=KMIW,IA
Mason City Municipal Airport (KMCW),KMCW,http://w1.weather.gov/xml/current_obs/display.php?stid=KMCW,IA
Monticello Regional Airport (KMXO),KMXO,http://w1.weather.gov/xml/current_obs/display.php?stid=KMXO,IA
"Mount Pleasant, Mount Pleasant Municipal Airport (KMPZ)",KMPZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KMPZ,IA
Muscatine (KMUT),KMUT,http://w1.weather.gov/xml/current_obs/display.php?stid=KMUT,IA
Newton Municipal Airport - Earl Johnson Field (KTNU),KTNU,http://w1.weather.gov/xml/current_obs/display.php?stid=KTNU,IA
Oelwein Municipal Airport (KOLZ),KOLZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KOLZ,IA
Orange City Municipal Airport (KORC),KORC,http://w1.weather.gov/xml/current_obs/display.php?stid=KORC,IA
Osceola Municipal Airport (KI75),KI75,http://w1.weather.gov/xml/current_obs/display.php?stid=KI75,IA
"Oskaloosa, Oskaloosa Municipal Airport (KOOA)",KOOA,http://w1.weather.gov/xml/current_obs/display.php?stid=KOOA,IA
Ottumwa Regional Airport (KOTM),KOTM,http://w1.weather.gov/xml/current_obs/display.php?stid=KOTM,IA
"Pella, Pella Municipal Airport (KPEA)",KPEA,http://w1.weather.gov/xml/current_obs/display.php?stid=KPEA,IA
Perry Municipal Airport (KPRO),KPRO,http://w1.weather.gov/xml/current_obs/display.php?stid=KPRO,IA
Red Oak (KRDK),KRDK,http://w1.weather.gov/xml/current_obs/display.php?stid=KRDK,IA
Schenck Field Airport (KICL),KICL,http://w1.weather.gov/xml/current_obs/display.php?stid=KICL,IA
Sheldon (KSHL),KSHL,http://w1.weather.gov/xml/current_obs/display.php?stid=KSHL,IA
Shenandoah Municipal (KSDA),KSDA,http://w1.weather.gov/xml/current_obs/display.php?stid=KSDA,IA
"Sioux City, Sioux Gateway Airport (KSUX)",KSUX,http://w1.weather.gov/xml/current_obs/display.php?stid=KSUX,IA
Spencer Municipal Airport (KSPW),KSPW,http://w1.weather.gov/xml/current_obs/display.php?stid=KSPW,IA
Storm Lake (KSLB),KSLB,http://w1.weather.gov/xml/current_obs/display.php?stid=KSLB,IA
"Vinton, Vinton Veterans Memorial Airpark Airport (KVTI)",KVTI,http://w1.weather.gov/xml/current_obs/display.php?stid=KVTI,IA
Washington (KAWG),KAWG,http://w1.weather.gov/xml/current_obs/display.php?stid=KAWG,IA
"Waterloo, Waterloo Municipal Airport (KALO)",KALO,http://w1.weather.gov/xml/current_obs/display.php?stid=KALO,IA
Webster City Municipal Airport (KEBS),KEBS,http://w1.weather.gov/xml/current_obs/display.php?stid=KEBS,IA
Boise Air Terminal (KBOI),KBOI,http://w1.weather.gov/xml/current_obs/display.php?stid=KBOI,ID
Boundary County Airport (K65S),K65S,http://w1.weather.gov/xml/current_obs/display.php?stid=K65S,ID
Burley Municipal Airport (KBYI),KBYI,http://w1.weather.gov/xml/current_obs/display.php?stid=KBYI,ID
Caldwell - Caldwell Industrial Airport (KEUL),KEUL,http://w1.weather.gov/xml/current_obs/display.php?stid=KEUL,ID
Challis - Challis Airport (KLLJ),KLLJ,http://w1.weather.gov/xml/current_obs/display.php?stid=KLLJ,ID
Coeur d'Alene Airport - Pappy Boyington Field (KCOE),KCOE,http://w1.weather.gov/xml/current_obs/display.php?stid=KCOE,ID
"Driggs, Driggs-Reed Memorial Airport (KDIJ)",KDIJ,http://w1.weather.gov/xml/current_obs/display.php?stid=KDIJ,ID
Grangeville - Idaho County Airport (KGIC),KGIC,http://w1.weather.gov/xml/current_obs/display.php?stid=KGIC,ID
"Hailey, Friedman Memorial Airport (KSUN)",KSUN,http://w1.weather.gov/xml/current_obs/display.php?stid=KSUN,ID
Idaho Falls Regional Airport (KIDA),KIDA,http://w1.weather.gov/xml/current_obs/display.php?stid=KIDA,ID
Jerome County Airport (KJER),KJER,http://w1.weather.gov/xml/current_obs/display.php?stid=KJER,ID
Joslin Field - Magic Valley Regional Airport (KTWF),KTWF,http://w1.weather.gov/xml/current_obs/display.php?stid=KTWF,ID
"Lewiston, Lewiston-Nez Perce County Airport (KLWS)",KLWS,http://w1.weather.gov/xml/current_obs/display.php?stid=KLWS,ID
Lowell (KP69),KP69,http://w1.weather.gov/xml/current_obs/display.php?stid=KP69,ID
McCall Airport (KMYL),KMYL,http://w1.weather.gov/xml/current_obs/display.php?stid=KMYL,ID
Mountain Home Air Force Base (KMUO),KMUO,http://w1.weather.gov/xml/current_obs/display.php?stid=KMUO,ID
Nampa Municipal Airport (KMAN),KMAN,http://w1.weather.gov/xml/current_obs/display.php?stid=KMAN,ID
"Pocatello, Pocatello Regional Airport (KPIH)",KPIH,http://w1.weather.gov/xml/current_obs/display.php?stid=KPIH,ID
"Rexburg, Rexburg-Madison County Airport (KRXE)",KRXE,http://w1.weather.gov/xml/current_obs/display.php?stid=KRXE,ID
"Salmon, Lemhi County Airport (KSMN)",KSMN,http://w1.weather.gov/xml/current_obs/display.php?stid=KSMN,ID
"Sandpoint, Sandpoint Airport (KSZT)",KSZT,http://w1.weather.gov/xml/current_obs/display.php?stid=KSZT,ID
"Stanley, Stanley Ranger Station (KSNT)",KSNT,http://w1.weather.gov/xml/current_obs/display.php?stid=KSNT,ID
Albertus Airport (KFEP),KFEP,http://w1.weather.gov/xml/current_obs/display.php?stid=KFEP,IL
Aurora Municipal Airport (KARR),KARR,http://w1.weather.gov/xml/current_obs/display.php?stid=KARR,IL
"Belleville, Scott AFB/MidAmerica Airport (KBLV)",KBLV,http://w1.weather.gov/xml/current_obs/display.php?stid=KBLV,IL
"Bloomington/Normal, Central Illinois Regional Airport at Bloomington-Normal (KBMI)",KBMI,http://w1.weather.gov/xml/current_obs/display.php?stid=KBMI,IL
Cairo Regional Airport (KCIR),KCIR,http://w1.weather.gov/xml/current_obs/display.php?stid=KCIR,IL
Carmi Municipal Airport (KCUL),KCUL,http://w1.weather.gov/xml/current_obs/display.php?stid=KCUL,IL
Centralia Municipal Airport (KENL),KENL,http://w1.weather.gov/xml/current_obs/display.php?stid=KENL,IL
"Chicago / West Chicago, Dupage Airport (KDPA)",KDPA,http://w1.weather.gov/xml/current_obs/display.php?stid=KDPA,IL
"Chicago / Wheeling, Pal-Waukee Airport (KPWK)",KPWK,http://w1.weather.gov/xml/current_obs/display.php?stid=KPWK,IL
"Chicago, Chicago Midway Airport (KMDW)",KMDW,http://w1.weather.gov/xml/current_obs/display.php?stid=KMDW,IL
"Chicago, Chicago-O'Hare International Airport (KORD)",KORD,http://w1.weather.gov/xml/current_obs/display.php?stid=KORD,IL
Chicago/Waukegan Regional Airport (KUGN),KUGN,http://w1.weather.gov/xml/current_obs/display.php?stid=KUGN,IL
"Danville, Vermilion County Airport (KDNV)",KDNV,http://w1.weather.gov/xml/current_obs/display.php?stid=KDNV,IL
De Kalb Taylor Municipal Airport (KDKB),KDKB,http://w1.weather.gov/xml/current_obs/display.php?stid=KDKB,IL
Decatur Airport (KDEC),KDEC,http://w1.weather.gov/xml/current_obs/display.php?stid=KDEC,IL
Edgar County Airport (KPRG),KPRG,http://w1.weather.gov/xml/current_obs/display.php?stid=KPRG,IL
"Effingham, Effingham County Memorial Airport (K1H2)",K1H2,http://w1.weather.gov/xml/current_obs/display.php?stid=K1H2,IL
"Fairfield, Fairfield Municipal Airport (KFWC)",KFWC,http://w1.weather.gov/xml/current_obs/display.php?stid=KFWC,IL
Flora Municipal Airport (KFOA),KFOA,http://w1.weather.gov/xml/current_obs/display.php?stid=KFOA,IL
Galesburg Municipal Airport (KGBG),KGBG,http://w1.weather.gov/xml/current_obs/display.php?stid=KGBG,IL
Greater Kankakee Airport (KIKK),KIKK,http://w1.weather.gov/xml/current_obs/display.php?stid=KIKK,IL
Harrisburg-Raleigh Airport (KHSB),KHSB,http://w1.weather.gov/xml/current_obs/display.php?stid=KHSB,IL
Illinois Valley Regional Airport (KVYS),KVYS,http://w1.weather.gov/xml/current_obs/display.php?stid=KVYS,IL
Jacksonville Municipal Airport (KIJX),KIJX,http://w1.weather.gov/xml/current_obs/display.php?stid=KIJX,IL
Joliet Regional Airport (KJOT),KJOT,http://w1.weather.gov/xml/current_obs/display.php?stid=KJOT,IL
Lansing Municipal Airport (KIGQ),KIGQ,http://w1.weather.gov/xml/current_obs/display.php?stid=KIGQ,IL
Lawrenceville-Vincennes International Airport (KLWV),KLWV,http://w1.weather.gov/xml/current_obs/display.php?stid=KLWV,IL
Lewis University Airport (KLOT),KLOT,http://w1.weather.gov/xml/current_obs/display.php?stid=KLOT,IL
Litchfield Municipal Airport (K3LF),K3LF,http://w1.weather.gov/xml/current_obs/display.php?stid=K3LF,IL
Logan County Airport (KAAA),KAAA,http://w1.weather.gov/xml/current_obs/display.php?stid=KAAA,IL
Macomb Municipal Airport (KMQB),KMQB,http://w1.weather.gov/xml/current_obs/display.php?stid=KMQB,IL
Marion - Williamson County Regional Airport (KMWA),KMWA,http://w1.weather.gov/xml/current_obs/display.php?stid=KMWA,IL
Marshall County Airport (KC75),KC75,http://w1.weather.gov/xml/current_obs/display.php?stid=KC75,IL
"Mattoon / Charleston, Coles County Memorial Airport (KMTO)",KMTO,http://w1.weather.gov/xml/current_obs/display.php?stid=KMTO,IL
Metropolis Municipal Airport (KM30),KM30,http://w1.weather.gov/xml/current_obs/display.php?stid=KM30,IL
Moline Quad-City Airport (KMLI),KMLI,http://w1.weather.gov/xml/current_obs/display.php?stid=KMLI,IL
Morris Muni-James R Washburn Field Airport (KC09),KC09,http://w1.weather.gov/xml/current_obs/display.php?stid=KC09,IL
"Mount Carmel, Mount Carmel Municipal Airport (KAJG)",KAJG,http://w1.weather.gov/xml/current_obs/display.php?stid=KAJG,IL
"Mount Sterling, Mount Sterling Municipal Airport (KI63)",KI63,http://w1.weather.gov/xml/current_obs/display.php?stid=KI63,IL
Mount Vernon Airport (KMVN),KMVN,http://w1.weather.gov/xml/current_obs/display.php?stid=KMVN,IL
Olney-Noble Airport (KOLY),KOLY,http://w1.weather.gov/xml/current_obs/display.php?stid=KOLY,IL
Peoria - General Downing-Peoria International Airport (KPIA),KPIA,http://w1.weather.gov/xml/current_obs/display.php?stid=KPIA,IL
"Pittsfield, Pittsfield Penstone Municipal Airport (KPPQ)",KPPQ,http://w1.weather.gov/xml/current_obs/display.php?stid=KPPQ,IL
Pontiac Municipal Airport (KPNT),KPNT,http://w1.weather.gov/xml/current_obs/display.php?stid=KPNT,IL
Quincy Regional Airport-Baldwin Field (KUIN),KUIN,http://w1.weather.gov/xml/current_obs/display.php?stid=KUIN,IL
Rantoul National Aviation Center Airport (KTIP),KTIP,http://w1.weather.gov/xml/current_obs/display.php?stid=KTIP,IL
Robinson Municipal Airport (KRSV),KRSV,http://w1.weather.gov/xml/current_obs/display.php?stid=KRSV,IL
"Rochelle, Rochelle Municipal-Koritz Field Airport (KRPJ)",KRPJ,http://w1.weather.gov/xml/current_obs/display.php?stid=KRPJ,IL
"Rockford, Greater Rockford Airport (KRFD)",KRFD,http://w1.weather.gov/xml/current_obs/display.php?stid=KRFD,IL
"Salem, Salem-Leckrone Airport (KSLO)",KSLO,http://w1.weather.gov/xml/current_obs/display.php?stid=KSLO,IL
Southern Illinois Airport (KMDH),KMDH,http://w1.weather.gov/xml/current_obs/display.php?stid=KMDH,IL
Sparta Community-Hunter Field Airport (KSAR),KSAR,http://w1.weather.gov/xml/current_obs/display.php?stid=KSAR,IL
Springfield - Abraham Lincoln Capital Airport (KSPI),KSPI,http://w1.weather.gov/xml/current_obs/display.php?stid=KSPI,IL
St. Louis Downtown Airport (KCPS),KCPS,http://w1.weather.gov/xml/current_obs/display.php?stid=KCPS,IL
St. Louis Regional Airport (KALN),KALN,http://w1.weather.gov/xml/current_obs/display.php?stid=KALN,IL
Sterling Rockfalls (KSQI),KSQI,http://w1.weather.gov/xml/current_obs/display.php?stid=KSQI,IL
"Taylorville, Taylorville Municipal Airport (KTAZ)",KTAZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KTAZ,IL
Tri-Township Airport (KSFY),KSFY,http://w1.weather.gov/xml/current_obs/display.php?stid=KSFY,IL
University of Illinois - Willard (KCMI),KCMI,http://w1.weather.gov/xml/current_obs/display.php?stid=KCMI,IL
Anderson Municipal Airport (KAID),KAID,http://w1.weather.gov/xml/current_obs/display.php?stid=KAID,IN
Auburn De Kalb County Airport (KGWB),KGWB,http://w1.weather.gov/xml/current_obs/display.php?stid=KGWB,IN
"Bloomington, Monroe County Airport (KBMG)",KBMG,http://w1.weather.gov/xml/current_obs/display.php?stid=KBMG,IN
Columbus / Bakalar (KBAK),KBAK,http://w1.weather.gov/xml/current_obs/display.php?stid=KBAK,IN
Daviess County Airport (KDCY),KDCY,http://w1.weather.gov/xml/current_obs/display.php?stid=KDCY,IN
Elkhart Municipal (KEKM),KEKM,http://w1.weather.gov/xml/current_obs/display.php?stid=KEKM,IN
"Evansville, Evansville Regional Airport (KEVV)",KEVV,http://w1.weather.gov/xml/current_obs/display.php?stid=KEVV,IN
Fort Wayne International Airport (KFWA),KFWA,http://w1.weather.gov/xml/current_obs/display.php?stid=KFWA,IN
Frankfort Municipal Airport (KFKR),KFKR,http://w1.weather.gov/xml/current_obs/display.php?stid=KFKR,IN
Gary Regional Airport (KGYY),KGYY,http://w1.weather.gov/xml/current_obs/display.php?stid=KGYY,IN
"Goshen, Goshen Municipal Airport (KGSH)",KGSH,http://w1.weather.gov/xml/current_obs/display.php?stid=KGSH,IN
Greenwood Municipal Airport (KHFY),KHFY,http://w1.weather.gov/xml/current_obs/display.php?stid=KHFY,IN
Grissom Air Force Base / Peru (KGUS),KGUS,http://w1.weather.gov/xml/current_obs/display.php?stid=KGUS,IN
Huntingburg (KHNB),KHNB,http://w1.weather.gov/xml/current_obs/display.php?stid=KHNB,IN
Huntington Municipal Airport (KHHG),KHHG,http://w1.weather.gov/xml/current_obs/display.php?stid=KHHG,IN
INDIANAPOLIS (KTYQ),KTYQ,http://w1.weather.gov/xml/current_obs/display.php?stid=KTYQ,IN
Indianapolis International Airport (KIND),KIND,http://w1.weather.gov/xml/current_obs/display.php?stid=KIND,IN
Indianapolis Mount Comfort Airport (KMQJ),KMQJ,http://w1.weather.gov/xml/current_obs/display.php?stid=KMQJ,IN
"Indianapolis, Eagle Creek Airpark (KEYE)",KEYE,http://w1.weather.gov/xml/current_obs/display.php?stid=KEYE,IN
Kendallville Municipal Airport (KC62),KC62,http://w1.weather.gov/xml/current_obs/display.php?stid=KC62,IN
"Kokomo, Kokomo Municipal Airport (KOKK)",KOKK,http://w1.weather.gov/xml/current_obs/display.php?stid=KOKK,IN
La Porte Municipal Airport (KPPO),KPPO,http://w1.weather.gov/xml/current_obs/display.php?stid=KPPO,IN
"Lafayette, Purdue University Airport (KLAF)",KLAF,http://w1.weather.gov/xml/current_obs/display.php?stid=KLAF,IN
Logansport/Cass County Airport (KGGP),KGGP,http://w1.weather.gov/xml/current_obs/display.php?stid=KGGP,IN
Madison Municipal Airport (KIMS),KIMS,http://w1.weather.gov/xml/current_obs/display.php?stid=KIMS,IN
Marion Municipal Airport (KMZZ),KMZZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KMZZ,IN
Michigan City Municipal Airport (KMGC),KMGC,http://w1.weather.gov/xml/current_obs/display.php?stid=KMGC,IN
Monticello White County Airport (KMCX),KMCX,http://w1.weather.gov/xml/current_obs/display.php?stid=KMCX,IN
"Muncie, Delaware County-Johnson Field (KMIE)",KMIE,http://w1.weather.gov/xml/current_obs/display.php?stid=KMIE,IN
Putnam County Regional Airport (KGPC),KGPC,http://w1.weather.gov/xml/current_obs/display.php?stid=KGPC,IN
Rensselaer Jasper County Airport (KRZL),KRZL,http://w1.weather.gov/xml/current_obs/display.php?stid=KRZL,IN
Richmond Municipal Airport (KRID),KRID,http://w1.weather.gov/xml/current_obs/display.php?stid=KRID,IN
Rochester Fulton County Airport (KRCR),KRCR,http://w1.weather.gov/xml/current_obs/display.php?stid=KRCR,IN
Shelbyville Municipal Airport (KGEZ),KGEZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KGEZ,IN
South Bend International Airport (KSBN),KSBN,http://w1.weather.gov/xml/current_obs/display.php?stid=KSBN,IN
Starke County Airport (KOXI),KOXI,http://w1.weather.gov/xml/current_obs/display.php?stid=KOXI,IN
Terre Haute International Airport - Hulman Field (KHUF),KHUF,http://w1.weather.gov/xml/current_obs/display.php?stid=KHUF,IN
Valparaiso Porter County Municipal Airport (KVPZ),KVPZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KVPZ,IN
"Warsaw, Warsaw Municipal Airport (KASW)",KASW,http://w1.weather.gov/xml/current_obs/display.php?stid=KASW,IN
Allen County Airport (KK88),KK88,http://w1.weather.gov/xml/current_obs/display.php?stid=KK88,KS
Atkinson Municipal Airport (KPTS),KPTS,http://w1.weather.gov/xml/current_obs/display.php?stid=KPTS,KS
Augusta Municipal Airport (K3AU),K3AU,http://w1.weather.gov/xml/current_obs/display.php?stid=K3AU,KS
Beech Factory Airport (KBEC),KBEC,http://w1.weather.gov/xml/current_obs/display.php?stid=KBEC,KS
Benton Lloyd Stearman Field (K1K1),K1K1,http://w1.weather.gov/xml/current_obs/display.php?stid=K1K1,KS
"Chanute, Chanute Martin Johnson Airport (KCNU)",KCNU,http://w1.weather.gov/xml/current_obs/display.php?stid=KCNU,KS
"Coffeyville, Coffeyville Municipal Airport (KCFV)",KCFV,http://w1.weather.gov/xml/current_obs/display.php?stid=KCFV,KS
Colby Shaltz Field Airport (KCBK),KCBK,http://w1.weather.gov/xml/current_obs/display.php?stid=KCBK,KS
"Concordia, Blosser Municipal Airport (KCNK)",KCNK,http://w1.weather.gov/xml/current_obs/display.php?stid=KCNK,KS
"Dodge City, Dodge City Regional Airport (KDDC)",KDDC,http://w1.weather.gov/xml/current_obs/display.php?stid=KDDC,KS
El Dorado Captain Jack Thomas Airport (KEQA),KEQA,http://w1.weather.gov/xml/current_obs/display.php?stid=KEQA,KS
"Elkhart, Elkhart-Morton County Airport (KEHA)",KEHA,http://w1.weather.gov/xml/current_obs/display.php?stid=KEHA,KS
"Emporia, Emporia Municipal Airport (KEMP)",KEMP,http://w1.weather.gov/xml/current_obs/display.php?stid=KEMP,KS
Fort Riley - Marshall AAF (KFRI),KFRI,http://w1.weather.gov/xml/current_obs/display.php?stid=KFRI,KS
Garden City Regional Airport (KGCK),KGCK,http://w1.weather.gov/xml/current_obs/display.php?stid=KGCK,KS
"Goodland, Renner Field (KGLD)",KGLD,http://w1.weather.gov/xml/current_obs/display.php?stid=KGLD,KS
"Great Bend, Great Bend Municipal Airport (KGBD)",KGBD,http://w1.weather.gov/xml/current_obs/display.php?stid=KGBD,KS
HAMILTON (K3K3),K3K3,http://w1.weather.gov/xml/current_obs/display.php?stid=K3K3,KS
"Hays, Hays Regional Airport (KHYS)",KHYS,http://w1.weather.gov/xml/current_obs/display.php?stid=KHYS,KS
"Hill City, Hill City Municipal Airport (KHLC)",KHLC,http://w1.weather.gov/xml/current_obs/display.php?stid=KHLC,KS
HUGOTON (KHQG),KHQG,http://w1.weather.gov/xml/current_obs/display.php?stid=KHQG,KS
"Hutchinson, Hutchinson Municipal Airport (KHUT)",KHUT,http://w1.weather.gov/xml/current_obs/display.php?stid=KHUT,KS
INDEPENDENCE (KIDP),KIDP,http://w1.weather.gov/xml/current_obs/display.php?stid=KIDP,KS
"Lawrence, Lawrence Municipal Airport (KLWC)",KLWC,http://w1.weather.gov/xml/current_obs/display.php?stid=KLWC,KS
"Liberal, Liberal Municipal Airport (KLBL)",KLBL,http://w1.weather.gov/xml/current_obs/display.php?stid=KLBL,KS
"Manhattan, Manhattan Municipal Airport (KMHK)",KMHK,http://w1.weather.gov/xml/current_obs/display.php?stid=KMHK,KS
Marysville Municipal Airport (KMYZ),KMYZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KMYZ,KS
McConnell Air Force Base (KIAB),KIAB,http://w1.weather.gov/xml/current_obs/display.php?stid=KIAB,KS
"Medicine Lodge, Medicine Lodge (KP28)",KP28,http://w1.weather.gov/xml/current_obs/display.php?stid=KP28,KS
"Newton, Newton City/County Airport (KEWK)",KEWK,http://w1.weather.gov/xml/current_obs/display.php?stid=KEWK,KS
"Olathe, Johnson County Executive Airport (KOJC)",KOJC,http://w1.weather.gov/xml/current_obs/display.php?stid=KOJC,KS
"Olathe, New Century Aircenter (KIXD)",KIXD,http://w1.weather.gov/xml/current_obs/display.php?stid=KIXD,KS
Ottawa Municipal Airport (KOWI),KOWI,http://w1.weather.gov/xml/current_obs/display.php?stid=KOWI,KS
"Parsons, Tri-City Airport (KPPF)",KPPF,http://w1.weather.gov/xml/current_obs/display.php?stid=KPPF,KS
